api_type,kind,wrapper,status,base_type,source,required_api_types,unavailable_api_types
ContainerType_Vector_TcVnVector2_INT,Constants,Node_ContainerType_Vector_TcVnVector2_INT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_TcVnVector2_INT.TcPOU,,
ContainerType_Vector_TcVnVector2_REAL,Constants,Node_ContainerType_Vector_TcVnVector2_REAL,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_TcVnVector2_REAL.TcPOU,,
ContainerType_Vector_TcVnVector2_SINT,Constants,Node_ContainerType_Vector_TcVnVector2_SINT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_TcVnVector2_SINT.TcPOU,,
ContainerType_Vector_TcVnVector2_UINT,Constants,Node_ContainerType_Vector_TcVnVector2_UINT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_TcVnVector2_UINT.TcPOU,,
ContainerType_Vector_TcVnVector2_USINT,Constants,Node_ContainerType_Vector_TcVnVector2_USINT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_TcVnVector2_USINT.TcPOU,,
ContainerType_Vector_TcVnVector3_INT,Constants,Node_ContainerType_Vector_TcVnVector3_INT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_TcVnVector3_INT.TcPOU,,
ContainerType_Vector_TcVnVector3_REAL,Constants,Node_ContainerType_Vector_TcVnVector3_REAL,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_TcVnVector3_REAL.TcPOU,,
ContainerType_Vector_TcVnVector3_SINT,Constants,Node_ContainerType_Vector_TcVnVector3_SINT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_TcVnVector3_SINT.TcPOU,,
ContainerType_Vector_TcVnVector3_UINT,Constants,Node_ContainerType_Vector_TcVnVector3_UINT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_TcVnVector3_UINT.TcPOU,,
ContainerType_Vector_TcVnVector3_USINT,Constants,Node_ContainerType_Vector_TcVnVector3_USINT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_TcVnVector3_USINT.TcPOU,,
ContainerType_Vector_TcVnVector4_DINT,Constants,Node_ContainerType_Vector_TcVnVector4_DINT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_TcVnVector4_DINT.TcPOU,,
ContainerType_Vector_TcVnVector4_INT,Constants,Node_ContainerType_Vector_TcVnVector4_INT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_TcVnVector4_INT.TcPOU,,
ContainerType_Vector_TcVnVector4_LREAL,Constants,Node_ContainerType_Vector_TcVnVector4_LREAL,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_TcVnVector4_LREAL.TcPOU,,
ContainerType_Vector_TcVnVector4_REAL,Constants,Node_ContainerType_Vector_TcVnVector4_REAL,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_TcVnVector4_REAL.TcPOU,,
ContainerType_Vector_TcVnVector4_SINT,Constants,Node_ContainerType_Vector_TcVnVector4_SINT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_TcVnVector4_SINT.TcPOU,,
ContainerType_Vector_TcVnVector4_UINT,Constants,Node_ContainerType_Vector_TcVnVector4_UINT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_TcVnVector4_UINT.TcPOU,,
ContainerType_Vector_TcVnVector4_USINT,Constants,Node_ContainerType_Vector_TcVnVector4_USINT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_TcVnVector4_USINT.TcPOU,,
ContainerType_Vector_UDINT,Constants,Node_ContainerType_Vector_UDINT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_UDINT.TcPOU,,
ContainerType_Vector_UINT,Constants,Node_ContainerType_Vector_UINT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_UINT.TcPOU,,
ContainerType_Vector_ULINT,Constants,Node_ContainerType_Vector_ULINT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_ULINT.TcPOU,,
ContainerType_Vector_USINT,Constants,Node_ContainerType_Vector_USINT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_USINT.TcPOU,,
ContainerType_Vector_Vector_LREAL,Constants,Node_ContainerType_Vector_Vector_LREAL,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_Vector_LREAL.TcPOU,,
ContainerType_Vector_Vector_REAL,Constants,Node_ContainerType_Vector_Vector_REAL,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_Vector_REAL.TcPOU,,
ContainerType_Vector_Vector_TcVnDMatch,Constants,Node_ContainerType_Vector_Vector_TcVnDMatch,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_Vector_TcVnDMatch.TcPOU,,
ContainerType_Vector_Vector_TcVnPoint2_DINT,Constants,Node_ContainerType_Vector_Vector_TcVnPoint2_DINT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_Vector_TcVnPoint2_DINT.TcPOU,,
ContainerType_Vector_Vector_TcVnPoint2_REAL,Constants,Node_ContainerType_Vector_Vector_TcVnPoint2_REAL,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_Vector_TcVnPoint2_REAL.TcPOU,,
ContainerType_Vector_Vector_TcVnPoint3_REAL,Constants,Node_ContainerType_Vector_Vector_TcVnPoint3_REAL,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_Vector_TcVnPoint3_REAL.TcPOU,,
ContainerType_Vector_Vector_UDINT,Constants,Node_ContainerType_Vector_Vector_UDINT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_Vector_UDINT.TcPOU,,
ContainerType_Vector_Vector_ULINT,Constants,Node_ContainerType_Vector_Vector_ULINT,registered,GUID,src/sln/lib/mobject-graph-vision-pack/Nodes/Constants/Node_ContainerType_Vector_Vector_ULINT.TcPOU,,
ETcVn2dCodeSearchStrategy,Enums,_ETcVn2dCodeSearchStrategy,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVn2dCodeSearchStrategy.TcPOU,,
ETcVnAdaptiveThresholdMethod,Enums,_ETcVnAdaptiveThresholdMethod,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnAdaptiveThresholdMethod.TcPOU,,
ETcVnBarcodeSearchDirection,Enums,_ETcVnBarcodeSearchDirection,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnBarcodeSearchDirection.TcPOU,,
ETcVnBarcodeType,Enums,_ETcVnBarcodeType,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnBarcodeType.TcPOU,,
ETcVnBlobCombination,Enums,_ETcVnBlobCombination,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnBlobCombination.TcPOU,,
ETcVnBoostClassifierType,Enums,_ETcVnBoostClassifierType,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnBoostClassifierType.TcPOU,,
ETcVnBorderInterpolationMethod,Enums,_ETcVnBorderInterpolationMethod,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnBorderInterpolationMethod.TcPOU,,
ETcVnCalibrationPattern,Enums,_ETcVnCalibrationPattern,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnCalibrationPattern.TcPOU,,
ETcVnCalibrationPatternOrigin,Enums,_ETcVnCalibrationPatternOrigin,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnCalibrationPatternOrigin.TcPOU,,
ETcVnCameraState,Enums,_ETcVnCameraState,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnCameraState.TcPOU,,
ETcVnCircularityCalculationMethod,Enums,_ETcVnCircularityCalculationMethod,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnCircularityCalculationMethod.TcPOU,,
ETcVnClusteringAlgorithm,Enums,_ETcVnClusteringAlgorithm,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnClusteringAlgorithm.TcPOU,,
ETcVnCodeDetectionModel,Enums,_ETcVnCodeDetectionModel,registered,ULINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnCodeDetectionModel.TcPOU,,
ETcVnCodeType,Enums,_ETcVnCodeType,registered,ULINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnCodeType.TcPOU,,
ETcVnColorMap,Enums,_ETcVnColorMap,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnColorMap.TcPOU,,
ETcVnColorMapSize,Enums,_ETcVnColorMapSize,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnColorMapSize.TcPOU,,
ETcVnColorSpaceTransform,Enums,_ETcVnColorSpaceTransform,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnColorSpaceTransform.TcPOU,,
ETcVnColorTrainingMethod,Enums,_ETcVnColorTrainingMethod,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnColorTrainingMethod.TcPOU,,
ETcVnComparisonOperator,Enums,_ETcVnComparisonOperator,registered,INT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnComparisonOperator.TcPOU,,
ETcVnConnectedComponentsAlgorithm,Enums,_ETcVnConnectedComponentsAlgorithm,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnConnectedComponentsAlgorithm.TcPOU,,
ETcVnContainerExportFormat,Enums,_ETcVnContainerExportFormat,registered,UINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnContainerExportFormat.TcPOU,,
ETcVnContourApproximationMethod,Enums,_ETcVnContourApproximationMethod,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnContourApproximationMethod.TcPOU,,
ETcVnContourRetrievalMode,Enums,_ETcVnContourRetrievalMode,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnContourRetrievalMode.TcPOU,,
ETcVnContoursMatchComparisonMethod,Enums,_ETcVnContoursMatchComparisonMethod,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnContoursMatchComparisonMethod.TcPOU,,
ETcVnDataLayout,Enums,_ETcVnDataLayout,registered,ULINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnDataLayout.TcPOU,,
ETcVnDataMatrixOptions,Enums,_ETcVnDataMatrixOptions,registered,ULINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnDataMatrixOptions.TcPOU,,
ETcVnDetectBarcodesWalshOptions,Enums,_ETcVnDetectBarcodesWalshOptions,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnDetectBarcodesWalshOptions.TcPOU,,
ETcVnDetectPatternPointsOptions,Enums,_ETcVnDetectPatternPointsOptions,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnDetectPatternPointsOptions.TcPOU,,
ETcVnDiffusivityTypeKAZE,Enums,_ETcVnDiffusivityTypeKAZE,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnDiffusivityTypeKAZE.TcPOU,,
ETcVnDistanceTransformationLabel,Enums,_ETcVnDistanceTransformationLabel,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnDistanceTransformationLabel.TcPOU,,
ETcVnDistanceTransformationMask,Enums,_ETcVnDistanceTransformationMask,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnDistanceTransformationMask.TcPOU,,
ETcVnDistanceType,Enums,_ETcVnDistanceType,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnDistanceType.TcPOU,,
ETcVnDotCodeOptions,Enums,_ETcVnDotCodeOptions,registered,ULINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnDotCodeOptions.TcPOU,,
ETcVnDrawMatchesFlags,Enums,_ETcVnDrawMatchesFlags,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnDrawMatchesFlags.TcPOU,,
ETcVnDrawShape,Enums,_ETcVnDrawShape,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnDrawShape.TcPOU,,
ETcVnEdgeDetectionAlgorithm,Enums,_ETcVnEdgeDetectionAlgorithm,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnEdgeDetectionAlgorithm.TcPOU,,
ETcVnEdgeDirection,Enums,_ETcVnEdgeDirection,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnEdgeDirection.TcPOU,,
ETcVnEdgeSelection,Enums,_ETcVnEdgeSelection,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnEdgeSelection.TcPOU,,
ETcVnElementType,Enums,_ETcVnElementType,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnElementType.TcPOU,,
ETcVnEstimationAlgorithm,Enums,_ETcVnEstimationAlgorithm,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnEstimationAlgorithm.TcPOU,,
ETcVnExtremePointDirection,Enums,_ETcVnExtremePointDirection,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnExtremePointDirection.TcPOU,,
ETcVnFeatureDescriptorTypeAKAZE,Enums,_ETcVnFeatureDescriptorTypeAKAZE,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnFeatureDescriptorTypeAKAZE.TcPOU,,
ETcVnFeatureScalingType,Enums,_ETcVnFeatureScalingType,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnFeatureScalingType.TcPOU,,
ETcVnFeatureScoreTypeORB,Enums,_ETcVnFeatureScoreTypeORB,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnFeatureScoreTypeORB.TcPOU,,
ETcVnFilterDirection,Enums,_ETcVnFilterDirection,registered,INT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnFilterDirection.TcPOU,,
ETcVnFindRoisMethod,Enums,_ETcVnFindRoisMethod,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnFindRoisMethod.TcPOU,,
ETcVnFindTemplateWalshOptions,Enums,_ETcVnFindTemplateWalshOptions,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnFindTemplateWalshOptions.TcPOU,,
ETcVnFlipAxis,Enums,_ETcVnFlipAxis,registered,INT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnFlipAxis.TcPOU,,
ETcVnFontType,Enums,_ETcVnFontType,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnFontType.TcPOU,,
ETcVnHoughMethod,Enums,_ETcVnHoughMethod,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnHoughMethod.TcPOU,,
ETcVnInitializableFunction,Enums,_ETcVnInitializableFunction,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnInitializableFunction.TcPOU,,
ETcVnInterpolationType,Enums,_ETcVnInterpolationType,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnInterpolationType.TcPOU,,
ETcVnJpegSampling,Enums,_ETcVnJpegSampling,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnJpegSampling.TcPOU,,
ETcVnKeypointDetectionTypeAGAST,Enums,_ETcVnKeypointDetectionTypeAGAST,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnKeypointDetectionTypeAGAST.TcPOU,,
ETcVnKeypointDetectionTypeFAST,Enums,_ETcVnKeypointDetectionTypeFAST,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnKeypointDetectionTypeFAST.TcPOU,,
ETcVnKnn,Enums,_ETcVnKnn,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnKnn.TcPOU,,
ETcVnLayerNameType,Enums,_ETcVnLayerNameType,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnLayerNameType.TcPOU,,
ETcVnLineType,Enums,_ETcVnLineType,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnLineType.TcPOU,,
ETcVnMatchTemplateWalshOptions,Enums,_ETcVnMatchTemplateWalshOptions,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnMatchTemplateWalshOptions.TcPOU,,
ETcVnMergeRegionsOptions,Enums,_ETcVnMergeRegionsOptions,registered,ULINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnMergeRegionsOptions.TcPOU,,
ETcVnMorphologicalOperator,Enums,_ETcVnMorphologicalOperator,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnMorphologicalOperator.TcPOU,,
ETcVnNbc,Enums,_ETcVnNbc,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnNbc.TcPOU,,
ETcVnNormalizationType,Enums,_ETcVnNormalizationType,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnNormalizationType.TcPOU,,
ETcVnOcrModelType,Enums,_ETcVnOcrModelType,registered,ULINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnOcrModelType.TcPOU,,
ETcVnOcrOptions,Enums,_ETcVnOcrOptions,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnOcrOptions.TcPOU,,
ETcVnOrientationMethod,Enums,_ETcVnOrientationMethod,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnOrientationMethod.TcPOU,,
ETcVnPaddingMode,Enums,_ETcVnPaddingMode,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnPaddingMode.TcPOU,,
ETcVnPixelConnectivity,Enums,_ETcVnPixelConnectivity,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnPixelConnectivity.TcPOU,,
ETcVnPixelEncoding,Enums,_ETcVnPixelEncoding,registered,BYTE,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnPixelEncoding.TcPOU,,
ETcVnPixelPackMode,Enums,_ETcVnPixelPackMode,registered,BYTE,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnPixelPackMode.TcPOU,,
ETcVnPolarizedImageInterpolation,Enums,_ETcVnPolarizedImageInterpolation,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnPolarizedImageInterpolation.TcPOU,,
ETcVnPrototypeClusterer,Enums,_ETcVnPrototypeClusterer,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnPrototypeClusterer.TcPOU,,
ETcVnRTrees,Enums,_ETcVnRTrees,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnRTrees.TcPOU,,
ETcVnRectangleIntersection,Enums,_ETcVnRectangleIntersection,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnRectangleIntersection.TcPOU,,
ETcVnReduceType,Enums,_ETcVnReduceType,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnReduceType.TcPOU,,
ETcVnRotationAngle,Enums,_ETcVnRotationAngle,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnRotationAngle.TcPOU,,
ETcVnSalientFeaturesMethod,Enums,_ETcVnSalientFeaturesMethod,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnSalientFeaturesMethod.TcPOU,,
ETcVnSignedNormalization,Enums,_ETcVnSignedNormalization,registered,INT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnSignedNormalization.TcPOU,,
ETcVnSolvePnPMethod,Enums,_ETcVnSolvePnPMethod,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnSolvePnPMethod.TcPOU,,
ETcVnSta,Enums,_ETcVnSta,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnSta.TcPOU,,
ETcVnStructuringElementShape,Enums,_ETcVnStructuringElementShape,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnStructuringElementShape.TcPOU,,
ETcVnSvm,Enums,_ETcVnSvm,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnSvm.TcPOU,,
ETcVnSvmKernelType,Enums,_ETcVnSvmKernelType,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnSvmKernelType.TcPOU,,
ETcVnSvmSgdClassifierMarginType,Enums,_ETcVnSvmSgdClassifierMarginType,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnSvmSgdClassifierMarginType.TcPOU,,
ETcVnSvmSgdClassifierType,Enums,_ETcVnSvmSgdClassifierType,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnSvmSgdClassifierType.TcPOU,,
ETcVnTemplateMatchMethod,Enums,_ETcVnTemplateMatchMethod,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnTemplateMatchMethod.TcPOU,,
ETcVnThresholdType,Enums,_ETcVnThresholdType,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnThresholdType.TcPOU,,
ETcVnTimestamp,Enums,_ETcVnTimestamp,registered,ULINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnTimestamp.TcPOU,,
ETcVnVectorCompareMethod,Enums,_ETcVnVectorCompareMethod,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnVectorCompareMethod.TcPOU,,
