api_function,proposed_node,status,licence,source,graph_path,required_api_types,unavailable_api_types,unavailable_types_in_comments,external_interface_types,buffer_or_pointer_params,other_call_sites,omitted_call_parameters,signature
F_VN_AddToContainerElements_TcVnVector2_UINT,Node_F_VN_AddToContainerElements_TcVnVector2_UINT,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Container Ops/AddTo/Node_F_VN_AddToContainerElements_TcVnVector2_UINT.TcPOU,Vision/Algebraic Container Operations/F_VN_AddToContainerElements/F_VN_AddToContainerElements_TcVnVector2_UINT,ITcVnContainer; TcVnVector2_UINT,,,,,,,aValue: TcVnVector2_UINT [InOut]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AddToContainerElements_TcVnVector2_USINT,Node_F_VN_AddToContainerElements_TcVnVector2_USINT,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Container Ops/AddTo/Node_F_VN_AddToContainerElements_TcVnVector2_USINT.TcPOU,Vision/Algebraic Container Operations/F_VN_AddToContainerElements/F_VN_AddToContainerElements_TcVnVector2_USINT,ITcVnContainer; TcVnVector2_USINT,,,,,,,aValue: TcVnVector2_USINT [InOut]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AddToContainerElements_TcVnVector3_INT,Node_F_VN_AddToContainerElements_TcVnVector3_INT,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Container Ops/AddTo/Node_F_VN_AddToContainerElements_TcVnVector3_INT.TcPOU,Vision/Algebraic Container Operations/F_VN_AddToContainerElements/F_VN_AddToContainerElements_TcVnVector3_INT,ITcVnContainer; TcVnVector3_INT,,,,,,,aValue: TcVnVector3_INT [InOut]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AddToContainerElements_TcVnVector3_REAL,Node_F_VN_AddToContainerElements_TcVnVector3_REAL,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Container Ops/AddTo/Node_F_VN_AddToContainerElements_TcVnVector3_REAL.TcPOU,Vision/Algebraic Container Operations/F_VN_AddToContainerElements/F_VN_AddToContainerElements_TcVnVector3_REAL,ITcVnContainer; TcVnVector3_REAL,,,,,,,aValue: TcVnVector3_REAL [InOut]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AddToContainerElements_TcVnVector3_SINT,Node_F_VN_AddToContainerElements_TcVnVector3_SINT,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Container Ops/AddTo/Node_F_VN_AddToContainerElements_TcVnVector3_SINT.TcPOU,Vision/Algebraic Container Operations/F_VN_AddToContainerElements/F_VN_AddToContainerElements_TcVnVector3_SINT,ITcVnContainer; TcVnVector3_SINT,,,,,,,aValue: TcVnVector3_SINT [InOut]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AddToContainerElements_TcVnVector3_UINT,Node_F_VN_AddToContainerElements_TcVnVector3_UINT,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Container Ops/AddTo/Node_F_VN_AddToContainerElements_TcVnVector3_UINT.TcPOU,Vision/Algebraic Container Operations/F_VN_AddToContainerElements/F_VN_AddToContainerElements_TcVnVector3_UINT,ITcVnContainer; TcVnVector3_UINT,,,,,,,aValue: TcVnVector3_UINT [InOut]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AddToContainerElements_TcVnVector3_USINT,Node_F_VN_AddToContainerElements_TcVnVector3_USINT,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Container Ops/AddTo/Node_F_VN_AddToContainerElements_TcVnVector3_USINT.TcPOU,Vision/Algebraic Container Operations/F_VN_AddToContainerElements/F_VN_AddToContainerElements_TcVnVector3_USINT,ITcVnContainer; TcVnVector3_USINT,,,,,,,aValue: TcVnVector3_USINT [InOut]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AddToContainerElements_TcVnVector4_DINT,Node_F_VN_AddToContainerElements_TcVnVector4_DINT,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Container Ops/AddTo/Node_F_VN_AddToContainerElements_TcVnVector4_DINT.TcPOU,Vision/Algebraic Container Operations/F_VN_AddToContainerElements/F_VN_AddToContainerElements_TcVnVector4_DINT,ITcVnContainer; TcVnVector4_DINT,,,,,,,aValue: TcVnVector4_DINT [InOut]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AddToContainerElements_TcVnVector4_INT,Node_F_VN_AddToContainerElements_TcVnVector4_INT,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Container Ops/AddTo/Node_F_VN_AddToContainerElements_TcVnVector4_INT.TcPOU,Vision/Algebraic Container Operations/F_VN_AddToContainerElements/F_VN_AddToContainerElements_TcVnVector4_INT,ITcVnContainer; TcVnVector4_INT,,,,,,,aValue: TcVnVector4_INT [InOut]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AddToContainerElements_TcVnVector4_LREAL,Node_F_VN_AddToContainerElements_TcVnVector4_LREAL,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Container Ops/AddTo/Node_F_VN_AddToContainerElements_TcVnVector4_LREAL.TcPOU,Vision/Algebraic Container Operations/F_VN_AddToContainerElements/F_VN_AddToContainerElements_TcVnVector4_LREAL,ITcVnContainer; TcVnVector4_LREAL,,,,,,,aValue: TcVnVector4_LREAL [InOut]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AddToContainerElements_TcVnVector4_REAL,Node_F_VN_AddToContainerElements_TcVnVector4_REAL,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Container Ops/AddTo/Node_F_VN_AddToContainerElements_TcVnVector4_REAL.TcPOU,Vision/Algebraic Container Operations/F_VN_AddToContainerElements/F_VN_AddToContainerElements_TcVnVector4_REAL,ITcVnContainer; TcVnVector4_REAL,,,,,,,aValue: TcVnVector4_REAL [InOut]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AddToContainerElements_TcVnVector4_SINT,Node_F_VN_AddToContainerElements_TcVnVector4_SINT,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Container Ops/AddTo/Node_F_VN_AddToContainerElements_TcVnVector4_SINT.TcPOU,Vision/Algebraic Container Operations/F_VN_AddToContainerElements/F_VN_AddToContainerElements_TcVnVector4_SINT,ITcVnContainer; TcVnVector4_SINT,,,,,,,aValue: TcVnVector4_SINT [InOut]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AddToContainerElements_TcVnVector4_UINT,Node_F_VN_AddToContainerElements_TcVnVector4_UINT,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Container Ops/AddTo/Node_F_VN_AddToContainerElements_TcVnVector4_UINT.TcPOU,Vision/Algebraic Container Operations/F_VN_AddToContainerElements/F_VN_AddToContainerElements_TcVnVector4_UINT,ITcVnContainer; TcVnVector4_UINT,,,,,,,aValue: TcVnVector4_UINT [InOut]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AddToContainerElements_TcVnVector4_USINT,Node_F_VN_AddToContainerElements_TcVnVector4_USINT,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Container Ops/AddTo/Node_F_VN_AddToContainerElements_TcVnVector4_USINT.TcPOU,Vision/Algebraic Container Operations/F_VN_AddToContainerElements/F_VN_AddToContainerElements_TcVnVector4_USINT,ITcVnContainer; TcVnVector4_USINT,,,,,,,aValue: TcVnVector4_USINT [InOut]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AddToContainerElements_UDINT,Node_F_VN_AddToContainerElements_UDINT,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Container Ops/AddTo/Node_F_VN_AddToContainerElements_UDINT.TcPOU,Vision/Algebraic Container Operations/F_VN_AddToContainerElements/F_VN_AddToContainerElements_UDINT,ITcVnContainer,,,,,,,nValue: UDINT [In]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AddToContainerElements_UINT,Node_F_VN_AddToContainerElements_UINT,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Container Ops/AddTo/Node_F_VN_AddToContainerElements_UINT.TcPOU,Vision/Algebraic Container Operations/F_VN_AddToContainerElements/F_VN_AddToContainerElements_UINT,ITcVnContainer,,,,,,,nValue: UINT [In]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AddToContainerElements_ULINT,Node_F_VN_AddToContainerElements_ULINT,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Container Ops/AddTo/Node_F_VN_AddToContainerElements_ULINT.TcPOU,Vision/Algebraic Container Operations/F_VN_AddToContainerElements/F_VN_AddToContainerElements_ULINT,ITcVnContainer,,,,,,,nValue: ULINT [In]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AddToContainerElements_USINT,Node_F_VN_AddToContainerElements_USINT,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Container Ops/AddTo/Node_F_VN_AddToContainerElements_USINT.TcPOU,Vision/Algebraic Container Operations/F_VN_AddToContainerElements/F_VN_AddToContainerElements_USINT,ITcVnContainer,,,,,,,nValue: USINT [In]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AddVectorToImage,Node_F_VN_AddVectorToImage,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Algebraic Image Ops/Node_F_VN_AddVectorToImage.TcPOU,Vision/Algebraic Image Operations/F_VN_AddVectorToImage,ITcVnImage; TcVnVector4_LREAL,,,,,,,aVector: TcVnVector4_LREAL [InOut]; ipSrcImage: ITcVnImage [In]; ipDestImage: Reference To ITcVnImage [In]; hrPrev: HRESULT [In]
F_VN_AdjustActiveContour,Node_F_VN_AdjustActiveContour,missing,TC3 Vision Base,,,ITcVnContainer; ITcVnImage,,,,,,,ipImage: ITcVnImage [In]; ipActiveContour: ITcVnContainer [In]; fAlpha: REAL [In]; fBeta: REAL [In]; fGamma: REAL [In]; nWindowWidth: UDINT [In]; nWindowHeight: UDINT [In]; nMaxIterations: UDINT [In]; bUseGradient: BOOL [In]; hrPrev: HRESULT [In]
F_VN_AdjustSearchWindowOrientationToLinearEdge,Node_F_VN_AdjustSearchWindowOrientationToLinearEdge,registered,TC3 Vision Metrology 2D,src/sln/lib/mobject-graph-vision-pack/Nodes/Measurement/Node_F_VN_AdjustSearchWindowOrientationToLinearEdge.TcPOU,Vision/Measurement/F_VN_AdjustSearchWindowOrientationToLinearEdge,ETcVnEdgeDirection; ITcVnImage; TcVnPoint2_REAL,,,,,,,ipSrcImage: ITcVnImage [In]; aStartPoint: TcVnPoint2_REAL [InOut]; aEndPoint: TcVnPoint2_REAL [InOut]; eEdgeDirection: ETcVnEdgeDirection [In]; fMinStrength: REAL [In]; nMaxThickness: UDINT [In]; nSearchLines: UDINT [In]; hrPrev: HRESULT [In]
F_VN_AdvanceIterator,Node_F_VN_AdvanceIterator,missing,TC3 Vision Base,,,ITcVnForwardIterator,ITcVnForwardIterator,,,,,,ipIterator: ITcVnForwardIterator [In]; nOffset: LINT [In]; hrPrev: HRESULT [In]
F_VN_AlignRotatedImageRegion,Node_F_VN_AlignRotatedImageRegion,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Geometric and Coord Transform/Node_F_VN_AlignRotatedImageRegion.TcPOU,Vision/Geometric and Coordinate Transformations/F_VN_AlignRotatedImageRegion,ITcVnImage; TcVnRotatedRectangle,,,,,,,ipSrcImage: ITcVnImage [In]; ipDestImage: Reference To ITcVnImage [In]; stRegion: TcVnRotatedRectangle [InOut]; hrPrev: HRESULT [In]
F_VN_AlignRotatedImageRegionExp,Node_F_VN_AlignRotatedImageRegionExp,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Geometric and Coord Transform/Node_F_VN_AlignRotatedImageRegionExp.TcPOU,Vision/Geometric and Coordinate Transformations/F_VN_AlignRotatedImageRegionExp,ETcVnBorderInterpolationMethod; ETcVnInterpolationType; ITcVnImage; TcVnRotatedRectangle; TcVnVector4_LREAL,,,,,,,"ipSrcImage: ITcVnImage [In]; ipDestImage: Reference To ITcVnImage [In]; stRegion: TcVnRotatedRectangle [InOut]; eInterpolationType: ETcVnInterpolationType [In] = TCVN_IT_BILINEAR; eBorderInterpolation: ETcVnBorderInterpolationMethod [In] = TCVN_BIM_CONSTANT; aBorderValue: TcVnVector4_LREAL [InOut] = {0, 0, 0, 0}; hrPrev: HRESULT [In]"
F_VN_AnalyzeBarcodeWalsh,Node_F_VN_AnalyzeBarcodeWalsh,missing,TC3 Vision Code Reading,,,ITcVnImage; TcVnParamsWalshBarcodeDetection,,,,,,,ipBarcodeImage: ITcVnImage [In]; stParams: TcVnParamsWalshBarcodeDetection [InOut]; hrPrev: HRESULT [In]
F_VN_AngleAndDegreeOfLinearPolarization,Node_F_VN_AngleAndDegreeOfLinearPolarization,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Polarization/Node_F_VN_AngleAndDegreeOfLinearPolarization.TcPOU,Vision/Polarization/F_VN_AngleAndDegreeOfLinearPolarization,ETcVnElementType; ITcVnImage,,,,,,,ip0Deg: ITcVnImage [In]; ip45Deg: ITcVnImage [In]; ip90Deg: ITcVnImage [In]; ip135Deg: ITcVnImage [In]; ipAoLP: Reference To ITcVnImage [In]; ipDoLP: Reference To ITcVnImage [In]; eDestType: ETcVnElementType [In]; hrPrev: HRESULT [In]
F_VN_AppendToContainer_DINT,Node_F_VN_AppendToContainer_DINT,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Basic Container Ops/AppendToContainer/Node_F_VN_AppendToContainer_DINT.TcPOU,Vision/Basic Container Operations/F_VN_AppendToContainer/F_VN_AppendToContainer_DINT,ITcVnContainer,,,,,,,nElement: DINT [In]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
F_VN_AppendToContainer_INT,Node_F_VN_AppendToContainer_INT,registered,TC3 Vision Base,src/sln/lib/mobject-graph-vision-pack/Nodes/Basic Container Ops/AppendToContainer/Node_F_VN_AppendToContainer_INT.TcPOU,Vision/Basic Container Operations/F_VN_AppendToContainer/F_VN_AppendToContainer_INT,ITcVnContainer,,,,,,,nElement: INT [In]; ipContainer: ITcVnContainer [In]; hrPrev: HRESULT [In]
